V1,V2
om0_5,0.739159753
om5_10,-6.055384221
om15_30,4.980154471
om30_45,0.457826583
om45_60,-0.885847491
om60_80,-4.107975618
om80_100,0.973171778
om100_120,0.234051126
dul0_5,15.34726009
dul5_10,-7.763932918
dul10_15,-1.729413831
dul15_30,-9.835970848
dul30_45,2.040888481
dul45_60,11.02813262
dul60_80,2.591983811
dul80_100,-2.712766137
dul100_120,-1.63031087
sand0_5,2.16985344
sand5_10,0.595927728
sand10_15,0.16560836
sand15_30,-0.821298396
sand30_45,-2.359791281
sand45_60,-4.065085828
sand60_80,-2.058938678
sand80_100,-3.7816234
sand100_120,9.31348805
sat0_5,-2.54532962
sat5_10,-0.087691575
sat10_15,4.619852023
sat15_30,4.184192055
sat30_45,-15.98869705
sat45_60,4.160065345
sat60_80,-0.77635499
sat80_100,4.949430869
sat100_120,0.943439059
ksat0_5,-8.340617463
ksat5_10,1.188421773
ksat10_15,8.426092135
ksat15_30,-0.211111339
ksat30_45,1.717906642
ksat45_60,2.085276129
ksat60_80,-0.064577497
ksat80_100,1.161277878
ksat100_120,-2.576488924
ll0_5,7.032984569
ll5_10,-4.337945759
ll10_15,-0.137353344
ll15_30,4.485333244
ll30_45,-1.842639737
ll45_60,-3.245561152
ll60_80,-2.451412122
ll80_100,4.316654394
ll100_120,0.719143924
clay0_5,-1.828896692
clay5_10,-1.182056501
clay10_15,-0.595871644
clay15_30,4.111912653
clay30_45,5.001187487
clay45_60,-10.41828143
clay60_80,0.131714112
clay80_100,-2.08522176
clay100_120,1.624256565
bddry0_5,-1.690184523
bddry5_10,-2.807318331
bddry10_15,1.688569702
bddry15_30,2.817174077
bddry30_45,-19.97669446
bddry45_60,13.37741882
bddry60_80,-4.375705219
bddry80_100,-0.495179972
bddry100_120,0.765462864
bdalt0_5,5.282350464
bdalt5_10,-0.519541753
bdalt10_15,-0.995107171
bdalt15_30,5.643045243
bdalt30_45,-8.476361816
bdalt45_60,4.940631088
bdalt60_80,0.507261061
bdalt80_100,1.667918231
bdalt100_120,-4.267807124
ph0_5,-0.811762677
ph5_10,-2.591107221
ph10_15,-0.70140686
ph15_30,16.02210495
ph30_45,-11.08003707
ph45_60,-11.6947618
ph60_80,9.949989512
ph80_100,-1.996443654
ph100_120,7.650262045
PROG Week.13,-2.436954894
PROG Week.14,-1.039041258
PROG Week.15,-8.84192574
PROG Week.16,-2.104333923
PROG Week.17,-5.736385973
PROG Week.18,-6.640227299
PROG Week.19,-6.146649069
PROG Week.20,-7.140977847
PROG Week.21,-3.082329681
PROG Week.22,-1.112298518
PROG Week.23,-4.217813847
PROG Week.24,-0.154370555
Popu Value,11.58843935
HARV Week.33,-1.168743683
HARV Week.34,3.409918488
HARV Week.35,1.35309516
HARV Week.36,-0.249570912
HARV Week.37,0.107417644
HARV Week.38,-4.561820087
HARV Week.39,-1.935917653
HARV Week.40,-6.194470718
HARV Week.41,0.00146878
HARV Week.42,-3.413712515
HARV Week.43,-1.647243819
HARV Week.44,-4.159404781
HARV Week.45,-2.688952234
HARV Week.46,6.44411517
HARV Week.47,-2.080223608
HARV Week.48,1.681144159
HARV Week.49,-0.255971954
HARV Week.50,-1.99059359
HARV Week.51,-2.471879217
FLOW Week.24,1.425913325
FLOW Week.25,1.862427556
FLOW Week.26,0.756857864
FLOW Week.27,-0.00140399
FLOW Week.28,1.114530874
FLOW Week.29,-1.577546992
FLOW Week.30,1.866172971
FLOW Week.31,-0.753798569
FLOW Week.32,-7.313022429
FLOW Week.33,0.618631167
Acre Value,2.449456394
X.Prcp.Week.13.,0.537359213
X.Tmax.Week.13.,-0.647171777
X.Tmin.Week.13.,1.675834293
X.Srad.Week.13.,0.666368767
X.Gdd.Week.13.,-5.390233145
X.Rdays.Week.13.,-0.502674828
X.Exrain.Week.13.,0.012623562
X.Cldays.Week.13.,1.125570247
X.Codays.Week.13.,-1.9307056
X.Prcp.Week.14.,0.987400864
X.Tmax.Week.14.,0.880485396
X.Tmin.Week.14.,-2.052329771
X.Srad.Week.14.,-0.936526265
X.Gdd.Week.14.,2.719307867
X.Rdays.Week.14.,-0.403090675
X.Exrain.Week.14.,-0.098953229
X.Cldays.Week.14.,0.688663773
X.Codays.Week.14.,0.995913219
X.Prcp.Week.15.,0.702848891
X.Tmax.Week.15.,17.86604358
X.Tmin.Week.15.,-8.453458144
X.Srad.Week.15.,-1.703702914
X.Gdd.Week.15.,-5.469730353
X.Rdays.Week.15.,0.410133246
X.Exrain.Week.15.,0.336918797
X.Cldays.Week.15.,0.138724483
X.Codays.Week.15.,-2.688730538
X.Prcp.Week.16.,-1.245455631
X.Tmax.Week.16.,-5.360013271
X.Tmin.Week.16.,11.15449482
X.Srad.Week.16.,0.929258198
X.Gdd.Week.16.,-4.807601997
X.Rdays.Week.16.,-0.06537323
X.Exrain.Week.16.,0.063825259
X.Cldays.Week.16.,0.940869316
X.Hdays.Week.16.,-0.05150564
X.Codays.Week.16.,0.571700464
X.Hunits.Week.16.,-0.005768872
X.Prcp.Week.17.,-1.679068727
X.Tmax.Week.17.,11.43209056
X.Tmin.Week.17.,-0.608930499
X.Srad.Week.17.,-2.097557365
X.Gdd.Week.17.,-8.396298237
X.Rdays.Week.17.,-0.095416699
X.Exrain.Week.17.,-0.473490316
X.Cldays.Week.17.,0.405233453
X.Codays.Week.17.,-0.043437
X.Prcp.Week.18.,-0.057444684
X.Tmax.Week.18.,1.212705773
X.Tmin.Week.18.,2.81931039
X.Srad.Week.18.,0.824626451
X.Gdd.Week.18.,-6.665005656
X.Rdays.Week.18.,-0.725581835
X.Exrain.Week.18.,-0.819582428
X.Cldays.Week.18.,0.023168562
X.Codays.Week.18.,0.16746419
X.Prcp.Week.19.,-0.516497269
X.Tmax.Week.19.,-4.892286249
X.Tmin.Week.19.,2.713132148
X.Srad.Week.19.,2.890275913
X.Gdd.Week.19.,5.849928164
